ENST00000622986.3	ALG13
ENST00000465129.1	DNAH11
ENST00000530408.1	NAV2
ENST00000494350.1	SEC31B
ENST00000467523.1	ZWINT
ENST00000554463.5	KIAA0586
ENST00000569461.1	CENPN
ENST00000572837.1	TAS2R14
ENST00000610444.2	TAS2R8
ENST00000590569.1	ICAM3
ENST00000541170.7	LUC7L2
ENST00000310366.8	PARP15
ENST00000559229.1	IRF9
ENST00000591104.5	ECSIT
ENST00000504593.1	KIF25
ENST00000579522.1	RPL21P122
ENST00000495483.5	PPOX
ENST00000422471.5	APOL1
ENST00000474913.1	CGB2
ENST00000528535.5	TIAM2
ENST00000568232.1	CLK3
ENST00000464491.5	METTL8
ENST00000638388.1	KIR2DL4
ENST00000492612.6	TRIT1
ENST00000596904.5	RPS4XP16
ENST00000370244.5	BCAR3
ENST00000354250.6	NDUFV3
ENST00000595299.1	PCNAP1
ENST00000498811.1	ZNF782
ENST00000502317.1	ALG1L7P
ENST00000385069.1	MIR599
ENST00000503149.5	SNX24
ENST00000361660.8	TYW1
ENST00000369509.1	VANGL1
ENST00000531326.1	PTPN11
ENST00000506744.1	ERBIN
ENST00000371950.3	HTR2C
ENST00000633988.1	IGHV3-7
ENST00000431103.1	DLG3-AS1
ENST00000631849.1	DLG5
ENST00000588640.5	GFAP
ENST00000466303.1	WBP1
ENST00000612672.1	MMP28
ENST00000354266.7	RHOT1
ENST00000460575.1	GADD45A
ENST00000344683.9	MCPH1
ENST00000462467.5	DSCR3
ENST00000476952.1	SEL1L2
ENST00000483576.1	HLA-DOB
ENST00000530112.2	ZBTB3
ENST00000511328.5	MAPK10
ENST00000539726.5	CD163L1
ENST00000477642.5	ATL2
ENST00000444060.1	DDAH2
ENST00000592541.5	ASXL3
ENST00000577620.5	PIGS
ENST00000503292.5	CC2D2A
ENST00000634218.1	DLGAP2-AS1
ENST00000542142.1	MMP17
ENST00000451340.2	GLIS3-AS1
ENST00000434870.5	MOG
ENST00000629998.1	LINC00969
ENST00000616992.1	FRMPD4
ENST00000459743.2	PIK3R2
ENST00000636817.1	POLR1D
ENST00000598092.2	LINC01515
ENST00000555073.5	NRXN3
ENST00000380815.4	GMDS
ENST00000637722.1	ARID1B
ENST00000406941.5	ING5
ENST00000448723.1	ADAM12
ENST00000462618.1	DOCK8
ENST00000545265.5	TMPRSS5
ENST00000447229.1	UBDP1
ENST00000579137.1	MIR5692B
ENST00000478265.1	EXOC4
ENST00000625486.1	ABR
ENST00000635899.1	CREBBP
ENST00000471128.1	METTL21A
ENST00000481954.1	GABBR1
ENST00000426647.2	DPY19L1P2
ENST00000418590.3	SBF1
ENST00000527685.5	TP53I11
